error,model
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.5677,error_encoding_weight
0.5625,error_encoding_weight
0.5417,error_encoding_weight
0.5938,error_encoding_weight
0.5625,error_encoding_weight
0.6146,error_encoding_weight
0.6094,error_encoding_weight
0.526,error_encoding_weight
0.6094,error_encoding_weight
0.5781,error_encoding_weight
0.5885,error_encoding_weight
0.5781,error_encoding_weight
0.5833,error_encoding_weight
0.5833,error_encoding_weight
0.5417,error_encoding_weight
0.5677,error_encoding_weight
0.599,error_encoding_weight
0.5677,error_encoding_weight
0.6042,error_encoding_weight
0.5677,error_encoding_weight
0.5729,error_encoding_weight
0.5781,error_encoding_weight
0.5885,error_encoding_weight
0.5312,error_encoding_weight
0.6146,error_encoding_weight
0.4948,error_encoding_weight
0.5469,error_encoding_weight
0.5885,error_encoding_weight
0.5781,error_encoding_weight
0.5729,error_encoding_weight
0.599,error_encoding_weight
0.6146,error_encoding_weight
0.5729,error_encoding_weight
0.5521,error_encoding_weight
0.5781,error_encoding_weight
0.5469,error_encoding_weight
0.625,error_encoding_weight
0.5052,error_encoding_weight
0.526,error_encoding_weight
0.5885,error_encoding_weight
0.5417,error_encoding_input
0.5156,error_encoding_input
0.5417,error_encoding_input
0.4531,error_encoding_input
0.4688,error_encoding_input
0.5,error_encoding_input
0.5573,error_encoding_input
0.5417,error_encoding_input
0.5052,error_encoding_input
0.5417,error_encoding_input
0.5104,error_encoding_input
0.4948,error_encoding_input
0.5052,error_encoding_input
0.4896,error_encoding_input
0.4792,error_encoding_input
0.5156,error_encoding_input
0.5469,error_encoding_input
0.4688,error_encoding_input
0.5,error_encoding_input
0.4896,error_encoding_input
0.474,error_encoding_input
0.4635,error_encoding_input
0.4635,error_encoding_input
0.4219,error_encoding_input
0.4688,error_encoding_input
0.4948,error_encoding_input
0.474,error_encoding_input
0.5052,error_encoding_input
0.4219,error_encoding_input
0.5,error_encoding_input
0.4844,error_encoding_input
0.4531,error_encoding_input
0.5312,error_encoding_input
0.5,error_encoding_input
0.4896,error_encoding_input
0.4583,error_encoding_input
0.4844,error_encoding_input
0.4896,error_encoding_input
0.5312,error_encoding_input
0.4635,error_encoding_input
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.4167,error_classic
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
