,epoch_errosHSGS,epoch_errosEncodingWeight,epoch_errosEncodingInput
0,8.314453125,436.482421875,181.9365234375
1,0.0,435.5654296875,180.72265625
2,0.0,435.5283203125,182.001953125
3,0.0,435.69140625,181.25
4,0.0,436.060546875,180.9951171875
5,0.0,435.96875,181.392578125
6,0.0,435.9482421875,181.1279296875
7,0.0,435.9033203125,181.8623046875
8,0.0,435.7138671875,181.2939453125
9,0.0,435.3583984375,181.3388671875
10,0.0,435.294921875,181.2568359375
11,0.0,435.642578125,181.5048828125
12,0.0,435.740234375,180.7255859375
13,0.0,435.416015625,181.767578125
14,0.0,435.4755859375,180.861328125
15,0.0,435.2294921875,181.505859375
16,0.0,435.720703125,181.21484375
17,0.0,435.5556640625,181.5361328125
18,0.0,435.93359375,181.4111328125
19,0.0,435.5537109375,181.1748046875
20,0.0,435.7568359375,181.666015625
21,0.0,436.1416015625,181.1259765625
22,0.0,435.587890625,181.130859375
23,0.0,435.4609375,181.0546875
24,0.0,435.986328125,181.8828125
25,0.0,435.75,181.30078125
26,0.0,435.568359375,181.416015625
27,0.0,435.4951171875,181.1640625
28,0.0,435.46875,181.5224609375
29,0.0,435.6416015625,181.3759765625
30,0.0,435.2490234375,181.11328125
31,0.0,435.48828125,181.2939453125
32,0.0,435.4912109375,181.2158203125
33,0.0,435.1669921875,181.0537109375
34,0.0,435.65625,181.384765625
35,0.0,435.9326171875,181.4365234375
36,0.0,435.5693359375,181.306640625
37,0.0,435.701171875,180.1171875
38,0.0,435.4736328125,181.9677734375
39,0.0,435.900390625,181.63671875
