,model,threshold,accuracy
0,output_encoding_weight,0.55,0.48484848484848486
1,output_encoding_input,0.7,0.5606060606060606
2,output_phase_encoding,0.75,0.5303030303030303
0,output_encoding_weight,0.55,0.45454545454545453
1,output_encoding_input,0.7,0.5454545454545454
2,output_phase_encoding,0.75,0.5303030303030303
0,output_encoding_weight,0.55,0.4696969696969697
1,output_encoding_input,0.7,0.5606060606060606
2,output_phase_encoding,0.75,0.5
0,output_encoding_weight,0.55,0.48484848484848486
1,output_encoding_input,0.7,0.5606060606060606
2,output_phase_encoding,0.75,0.5303030303030303
0,output_encoding_weight,0.55,0.45454545454545453
1,output_encoding_input,0.7,0.5606060606060606
2,output_phase_encoding,0.75,0.5454545454545454
0,output_encoding_weight,0.55,0.4696969696969697
1,output_encoding_input,0.7,0.5454545454545454
2,output_phase_encoding,0.75,0.5151515151515151
0,output_encoding_weight,0.55,0.48484848484848486
1,output_encoding_input,0.7,0.5606060606060606
2,output_phase_encoding,0.75,0.5151515151515151
0,output_encoding_weight,0.55,0.4696969696969697
1,output_encoding_input,0.7,0.5454545454545454
2,output_phase_encoding,0.75,0.5606060606060606
0,output_encoding_weight,0.55,0.4696969696969697
1,output_encoding_input,0.7,0.5606060606060606
2,output_phase_encoding,0.75,0.5303030303030303
0,output_encoding_weight,0.55,0.48484848484848486
1,output_encoding_input,0.7,0.5606060606060606
2,output_phase_encoding,0.75,0.5
