,model,epoch,value
0,original,0,2
1,original,1,2
2,original,2,2
3,original,3,2
4,original,4,2
5,original,5,2
6,original,6,2
7,original,7,2
8,original,8,2
9,original,9,2
10,original,10,2
11,original,11,2
12,original,12,2
13,original,13,2
14,original,14,2
15,original,15,2
16,original,16,2
17,original,17,2
18,original,18,2
19,original,19,2
20,original,20,2
21,original,21,2
22,original,22,2
23,original,23,2
24,original,24,2
25,original,25,2
26,original,26,2
27,original,27,2
28,original,28,2
29,original,29,2
30,original,30,2
31,original,31,2
32,original,32,2
33,original,33,2
34,original,34,2
35,original,35,2
36,original,36,2
37,original,37,2
38,original,38,2
39,original,39,2
40,original,40,2
41,original,41,2
42,original,42,2
43,original,43,2
44,original,44,2
45,original,45,2
46,original,46,2
47,original,47,2
48,original,48,2
49,original,49,2
50,angleradius,0,1
51,angleradius,1,1
52,angleradius,2,2
53,angleradius,3,1
54,angleradius,4,2
55,angleradius,5,2
56,angleradius,6,2
57,angleradius,7,2
58,angleradius,8,0
59,angleradius,9,2
60,angleradius,10,2
61,angleradius,11,2
62,angleradius,12,0
63,angleradius,13,0
64,angleradius,14,0
65,angleradius,15,0
66,angleradius,16,0
67,angleradius,17,2
68,angleradius,18,2
69,angleradius,19,2
70,angleradius,20,1
71,angleradius,21,1
72,angleradius,22,2
73,angleradius,23,2
74,angleradius,24,0
75,angleradius,25,0
76,angleradius,26,2
77,angleradius,27,2
78,angleradius,28,2
79,angleradius,29,2
80,angleradius,30,0
81,angleradius,31,0
82,angleradius,32,1
83,angleradius,33,1
84,angleradius,34,0
85,angleradius,35,2
86,angleradius,36,2
87,angleradius,37,2
88,angleradius,38,0
89,angleradius,39,2
90,angleradius,40,2
91,angleradius,41,2
92,angleradius,42,0
93,angleradius,43,0
94,angleradius,44,2
95,angleradius,45,2
96,angleradius,46,2
97,angleradius,47,2
98,angleradius,48,2
99,angleradius,49,2
100,BQN,0,0
101,BQN,1,0
102,BQN,2,0
103,BQN,3,0
104,BQN,4,0
105,BQN,5,0
106,BQN,6,0
107,BQN,7,0
108,BQN,8,0
109,BQN,9,0
110,BQN,10,0
111,BQN,11,0
112,BQN,12,0
113,BQN,13,0
114,BQN,14,0
115,BQN,15,0
116,BQN,16,0
117,BQN,17,0
118,BQN,18,0
119,BQN,19,0
120,BQN,20,0
121,BQN,21,0
122,BQN,22,0
123,BQN,23,0
124,BQN,24,0
125,BQN,25,0
126,BQN,26,0
127,BQN,27,0
128,BQN,28,0
129,BQN,29,0
130,BQN,30,0
131,BQN,31,0
132,BQN,32,0
133,BQN,33,0
134,BQN,34,0
135,BQN,35,0
136,BQN,36,0
137,BQN,37,0
138,BQN,38,0
139,BQN,39,0
140,BQN,40,0
141,BQN,41,0
142,BQN,42,0
143,BQN,43,0
144,BQN,44,0
145,BQN,45,0
146,BQN,46,0
147,BQN,47,0
148,BQN,48,0
149,BQN,49,0
150,BQN,50,0
151,BQN,51,0
152,BQN,52,0
153,BQN,53,0
154,BQN,54,0
155,BQN,55,0
156,BQN,56,0
157,BQN,57,0
158,BQN,58,0
159,BQN,59,0
160,angle,0,3
161,angle,1,3
162,angle,2,3
163,angle,3,3
164,angle,4,3
165,angle,5,3
166,angle,6,3
167,angle,7,3
168,angle,8,3
169,angle,9,1
170,angle,10,1
171,angle,11,1
172,angle,12,1
173,angle,13,1
174,angle,14,1
175,angle,15,2
176,angle,16,1
177,angle,17,1
178,angle,18,2
179,angle,19,1
180,angle,20,1
181,angle,21,1
182,angle,22,2
183,angle,23,1
184,angle,24,1
185,angle,25,2
186,angle,26,1
187,angle,27,1
188,angle,28,1
189,angle,29,2
190,angle,30,1
191,angle,31,1
192,angle,32,2
193,angle,33,1
194,angle,34,1
195,angle,35,1
196,angle,36,2
197,angle,37,1
198,angle,38,1
199,angle,39,2
200,angle,40,1
201,angle,41,1
202,angle,42,1
203,angle,43,2
204,angle,44,1
205,angle,45,1
206,angle,46,2
207,angle,47,1
208,angle,48,1
209,angle,49,1
210,radius,0,2
211,radius,1,2
212,radius,2,2
213,radius,3,2
214,radius,4,2
215,radius,5,2
216,radius,6,2
217,radius,7,2
218,radius,8,2
219,radius,9,2
220,radius,10,2
221,radius,11,2
222,radius,12,2
223,radius,13,2
224,radius,14,2
225,radius,15,2
226,radius,16,2
227,radius,17,2
228,radius,18,2
229,radius,19,2
230,radius,20,2
231,radius,21,2
232,radius,22,2
233,radius,23,2
234,radius,24,2
235,radius,25,2
236,radius,26,2
237,radius,27,2
238,radius,28,2
239,radius,29,2
240,radius,30,2
241,radius,31,2
242,radius,32,2
243,radius,33,2
244,radius,34,2
245,radius,35,2
246,radius,36,2
247,radius,37,2
248,radius,38,2
249,radius,39,2
250,radius,40,2
251,radius,41,2
252,radius,42,2
253,radius,43,2
254,radius,44,2
255,radius,45,2
256,radius,46,2
257,radius,47,2
258,radius,48,2
259,radius,49,2
